subject_id,target,n,unique_classes,class_0_count,class_0_ratio,class_1_count,class_1_ratio,positive_rate
id07,S2,49,"0,1",14,0.2857142857142857,35,0.7142857142857143,0.7142857142857143
id08,S2,56,"0,1",22,0.39285714285714285,34,0.6071428571428571,0.6071428571428571
id09,S2,41,"0,1",9,0.21951219512195122,32,0.7804878048780488,0.7804878048780488
id10,S2,33,"0,1",21,0.6363636363636364,12,0.36363636363636365,0.36363636363636365
id01,S3,41,"0,1",6,0.14634146341463414,35,0.8536585365853658,0.8536585365853658
id02,S3,48,"0,1",5,0.10416666666666667,43,0.8958333333333334,0.8958333333333334
id03,S3,33,"0,1",17,0.5151515151515151,16,0.48484848484848486,0.48484848484848486
id04,S3,57,"0,1",26,0.45614035087719296,31,0.543859649122807,0.543859649122807
id05,S3,44,"0,1",38,0.8636363636363636,6,0.13636363636363635,0.13636363636363635
id06,S3,48,"0,1",2,0.041666666666666664,46,0.9583333333333334,0.9583333333333334
id07,S3,49,"0,1",10,0.20408163265306123,39,0.7959183673469388,0.7959183673469388
id08,S3,56,"0,1",19,0.3392857142857143,37,0.6607142857142857,0.6607142857142857
id09,S3,41,"0,1",12,0.2926829268292683,29,0.7073170731707317,0.7073170731707317
id10,S3,33,"0,1",17,0.5151515151515151,16,0.48484848484848486,0.48484848484848486
id01,S4,41,"0,1",21,0.5121951219512195,20,0.4878048780487805,0.4878048780487805
id02,S4,48,"0,1",12,0.25,36,0.75,0.75
id03,S4,33,"0,1",28,0.8484848484848485,5,0.15151515151515152,0.15151515151515152
id04,S4,57,"0,1",28,0.49122807017543857,29,0.5087719298245614,0.5087719298245614
id05,S4,44,"0,1",26,0.5909090909090909,18,0.4090909090909091,0.4090909090909091
id06,S4,48,"0,1",7,0.14583333333333334,41,0.8541666666666666,0.8541666666666666
id07,S4,49,"0,1",26,0.5306122448979592,23,0.46938775510204084,0.46938775510204084
id08,S4,56,"0,1",22,0.39285714285714285,34,0.6071428571428571,0.6071428571428571
id09,S4,41,"0,1",17,0.4146341463414634,24,0.5853658536585366,0.5853658536585366
id10,S4,33,"0,1",11,0.3333333333333333,22,0.6666666666666666,0.6666666666666666
